modelnames	mechModelX	mechModelX1	mechModelX2	mechModelX3	mechModelX4	mechModelX5	mechModelX6	mechModelX7	modelnames	mechModelX	mechModelX1	mechModelX2	mechModelX3	mechModelX4	mechModelX5	mechModelX6	mechModelX7	
paramset_r2tbyl	4569.888	3893.518	3895.768	32036.792	5479.085	32035.985	6601.530	modelnames	mechModelX	mechModelX1	mechModelX2	mechModelX3	mechModelX4	mechModelX5	mechModelX6	mechModelX7	
	
paramset_x9mbce	909327.043	1031351.379	1037726.286	523718.357	909425.537	521863.442	581678.587	
paramset_tsrkxy	53635.687	57996.781	57996.879	47433.102	53432.346	47228.131	50158.877	
paramset_nem7ut	5057984.471	5057952.152	5057977.199	1836427.584	4948813.457	1823861.078	4835141.841	
paramset_utrczw	51776.564	51777.356	51775.800	45235.174	42524.373	39066.386	55754.145	
paramset_2e7g56	1085700.880	1124629.605	1123096.945	653615.595	1080595.389	648396.699	941868.060	
paramset_fmuvq2	695748.961	685291.771	685280.369	29364.502	694864.600	29366.229	694342.397	
paramset_w6atg3	155977.548	174539.444	174880.343	130278.907	154679.115	130189.790	139592.617	
paramset_4gnlue	34823.812	32899.694	32878.257	36525.323	35012.463	36495.754	34340.560	
paramset_o6iuj9	257835.263	261104.884	261082.842	28087.918	249752.044	28384.193	259673.196	
paramset_jhtb5e	453557.307	452096.580	452135.415	88725.157	343018.462	87887.832	454835.484	
paramset_tbc9vw	241658.046	186253.854	182129.438	41628.091	227120.814	41628.090	194759.131	
paramset_fn8mh5	192574.633	193623.839	193393.514	42187.109	142331.497	41460.388	155875.099	
paramset_7idpzv	33076.295	33284.990	33284.878	28779.840	33347.113	28802.019	29842.380	
paramset_pd1olu	25120.239	25699.191	25692.149	39894.736	25220.635	39894.077	24145.284	
paramset_bd8iye	4951570.419	4987988.709	4988262.468	2978100.668	4925844.046	2974737.470	5041815.937	
paramset_qz5uc2	28067.097	30516.561	30517.226	46993.808	28153.216	46994.563	23295.631	
paramset_jowz79	1483610.308	1714295.105	1715431.986	369300.713	1468079.983	369228.231	1283533.843	
paramset_bhx8mg	1238042.659	1238825.765	1238076.925	60895.428	1220094.097	60892.695	1405981.843	
paramset_skfucj	162930.569	162460.720	162368.842	164985.526	163190.738	165245.550	28093.369	
paramset_j41n73	924008.996	916690.978	917656.126	275236.627	641396.137	271919.324	917966.008	
paramset_lg3rnp	3778708.336	3882808.155	3776385.831	221654.171	3245498.196	204044.375	3065591.523	
paramset_c6mzgj	721427.615	721925.011	721687.732	405130.688	720118.728	404582.732	594660.599	
paramset_wt9z5n	23852.495	23994.449	23996.679	33767.873	24564.497	33772.810	23896.662	
paramset_8u1sjh	18107.178	17984.675	17982.758	36497.285	18107.228	36498.842	17613.214	
paramset_ek3sbv	74807.008	74804.028	74807.142	28594.473	74582.223	28615.037	74423.938	
paramset_afq5lw	11759.820	11660.819	11761.490	20103.145	11842.008	20136.137	12833.933	
paramset_nm8kh7	143651.313	143690.598	143651.021	153727.775	122956.262	133126.250	105285.940	
